"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1064","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","2085","Клик на логотип Яндекса - открытие Дзена в новом окне","tests","2026-04-16","passed","2026-04-16","TestLogoRedirect","test_logo_redirect","",""
"","23016","Позитивный сценарий заказа самоката","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"","1060","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","1070","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","551","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","1072","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","1061","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","1063","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
"","2212","Клик на логотип Самоката - переход на главную страницу","tests","2026-04-16","passed","2026-04-16","TestLogoRedirect","test_logo_redirect","",""
"","22124","Позитивный сценарий заказа самоката","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"","1060","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2026-04-16","passed","2026-04-16","TestFAQ","test_faq","",""
